rid	fid	lid_1	graph_1	ori_graph_1	lid_2	graph_2	ori_graph_2	cat_1	ori_cat_1	cat_2	ori_cat_2	ori_cple	type_cstr_1	cstr_1	ori_cstr_1	type_cstr_2	cstr_2	ori_cstr_2	complexite	ori_complexite	orientation	ori_orientation	SemTy_1	ori_SemTy_1	SemTy_2	ori_SemTy_2	Sous_semTy_1	Sous_semTy_2	ori_sous_semTy_1	ori_sous_semTy_2	SemTyRss_1	SemTyRss_2	ori_SemTyRss_1	ori_SemTyRss_2	RelSem_n1	RelSem_n2	ori_RelSem	def_conc	ori_def_conc	def_abs	ori_def_abs	commentaires

new		l315247	rire	dimoc	l93896	agélaste	dimoc	Nm	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	pre-suf	aXaste	nouveau	motiv-sem	nouveau	as2des	nouveau																				
new		l5818	BD	dimoc	l134352	bédéaste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l132757	bucolique	dimoc	l132755	bucoliaste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	suf	Xique	nouveau	suf	Xaste	nouveau	simple	nouveau	indirect	nouveau																				
new		l254394	mille	dimoc	l149113	chiliaste	dimoc	Num	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l151655	cinéma	dimoc	l151647	cinéaste	dimoc	Nm	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l377813	éloge	dimoc	l184973	encomiaste	dimoc	Nm	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l200958	fédération	dimoc	l200954	fédéraste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	suf	Xation	nouveau	suf	Xaste	nouveau	motiv-sem	nouveau	indirect	nouveau																				
new		l220487	héliée	dimoc	l220376	héliaste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l279114	pancrace	dimoc	l279121	pancratiaste	dimoc	Nm	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l280222	paraphrase	dimoc	l280226	paraphraste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l281031	parrhèsia	nouveau	l281039	parrèsiaste	dimoc	Nf	nouveau	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l282833	pelte	dimoc	l282832	peltaste	dimoc	Nm	nouveau	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l65823	RSA	dimoc	l65827	RSaste	dimoc	Nm	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l331020	scholie	dimoc	l331019	scholiaste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l331398	scolie	dimoc	l331397	scoliaste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l359294	télévision	dimoc	l359015	téléaste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l366061	vidéo	dimoc	l366059	vidéaste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l288237	plagiat	dimoc	l288235	plagiaste	dimoc	Nm	dimoc	Nm	nouveau	dimoc	suf	Xat	nouveau	suf	Xaste	nouveau	simple	nouveau	indirect	nouveau																				
new		l315247	rire	dimoc	l93242	agelaste	dimoc	Nm	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	pre-suf	aXaste	nouveau	motiv-sem	nouveau	as2des	nouveau																				
new		l265394	métaphrase	dimoc	l265397	métaphraste	dimoc	Nf	dimoc	Nm	nouveau	dimoc	NA	X	nouveau	suf	Xaste	nouveau	simple	nouveau	as2des	nouveau																				
new		l232275	khi	dimoc	l148774	chiasme	dimoc	Nm	dimoc	Nm	dimoc	dimoc	NA	X	nouveau	suf	Xasme	nouveau	simple	nouveau	as2des	nouveau																				
new		l254394	mille	dimoc	l149111	chiliasme	dimoc	Num	dimoc	Nm	dimoc	dimoc	NA	X	nouveau	suf	Xasme	nouveau	simple	nouveau	as2des	nouveau																				
new		l221621	iconoclaste	nouveau	l221620	iconoclasme	dimoc	Adj	nouveau	Nm	dimoc	nouveau	NA	X	nouveau	suf	Xasme	nouveau	simple	nouveau	as2des	nouveau																				
new		l221623	iconoclaste	nouveau	l221620	iconoclasme	dimoc	Nm	nouveau	Nm	dimoc	nouveau	NA	X	nouveau	suf	Xasme	nouveau	simple	nouveau	as2des	nouveau																				
new		l275398	orgie	nouveau	l275391	orgiasme	dimoc	Nf	nouveau	Nm	dimoc	nouveau	NA	X	nouveau	suf	Xasme	nouveau	simple	nouveau	as2des	nouveau																				
new		l132757	bucolique	dimoc	l132754	bucoliasme	dimoc	Nf	dimoc	Nm	dimoc	dimoc	suf	Xique	nouveau	suf	Xasme	nouveau	simple	nouveau	indirect	nouveau																				
